TITLE = "2D Mesh" 
VARIABLES = "X", "Y", "Z", "Function 0", "Function 1", "Function 2"
ZONE I=4 J=4 K=4 DATAPACKING=POINT 
0 0 0 0.4 0 0
0 0 1 0.1 1 0
0 0 2 0.2 4 0
0 0 3 0.3 9 0
0 1 0 0.21 1 1
0 1 1 0.5 2 1
0 1 2 0.6 5 1
0 1 3 0.7 10 1
0 2 0 0.8 4 4
0 2 1 0.9 5 4
0 2 2 0.10 8 4
0 2 3 0.11 13 4
0 3 0 0.12 9 9
0 3 1 0.13 10 9
0 3 2 0.14 13 9
0 3 3 0.15 18 9
1 0 0 0 1 1
1 0 1 0.17 2 1
1 0 2 0.18 5 1
1 0 3 0.19 10 1
1 1 0 0.16 2 2
1 1 1 0.22 3 2
1 1 2 0.23 6 2
1 1 3 0.24 11 2
1 2 0 0.25 5 5
1 2 1 0.26 6 5
1 2 2 0.27 9 5
1 2 3 0.28 14 5
1 3 0 0.29 10 10
1 3 1 0.31 11 10
1 3 2 0.32 14 10
1 3 3 0.33 19 10
2 0 0 0.34 4 4
2 0 1 0.35 5 4
2 0 2 0.36 8 4
2 0 3 0.37 13 4
2 1 0 0.38 5 5
2 1 1 0.39 6 5
2 1 2 0.41 9 5
2 1 3 0.42 14 5
2 2 0 0.43 8 8
2 2 1 0.44 9 8
2 2 2 0.45 12 8
2 2 3 0.46 17 8
2 3 0 0.47 13 13
2 3 1 0.48 14 13
2 3 2 0.49 17 13
2 3 3 0.51 22 13
3 0 0 0.52 9 9
3 0 1 0.53 10 9
3 0 2 0.54 13 9
3 0 3 0.55 18 9
3 1 0 0.56 10 10
3 1 1 0.57 11 10
3 1 2 0.58 14 10
3 1 3 0.59 19 10
3 2 0 0.61 13 13
3 2 1 0.62 14 13
3 2 2 0.63 17 13
3 2 3 0.64 22 13
3 3 0 0.65 18 18
3 3 1 0.66 19 18
3 3 2 0.67 22 18
3 3 3 0.68 27 18

