TITLE = "2D Mesh" 
VARIABLES = "X", "Y", "Z", "F", "R"
ZONE I=4 J=4 K=4 DATAPACKING=POINT 
0 0 0 0 0
0 0 1 1 0
0 0 2 2 0
0 0 3 3 0
0 1 0 4 1
0 1 1 5 1
0 1 2 6 1
0 1 3 7 1
0 2 0 8 2
0 2 1 9 2
0 2 2 10 2
0 2 3 11 2
0 3 0 12 3
0 3 1 13 3
0 3 2 14 3
0 3 3 15 3
1 0 0 16 4
1 0 1 17 4
1 0 2 18 4
1 0 3 19 4
1 1 0 20 5
1 1 1 21 5
1 1 2 22 5
1 1 3 23 5
1 2 0 24 6
1 2 1 25 6
1 2 2 26 6
1 2 3 27 6
1 3 0 28 7
1 3 1 29 7
1 3 2 30 7
1 3 3 31 7
2 0 0 32 8
2 0 1 33 8
2 0 2 34 8
2 0 3 35 8
2 1 0 36 9
2 1 1 37 9
2 1 2 38 9
2 1 3 39 9
2 2 0 40 10
2 2 1 41 10
2 2 2 42 10
2 2 3 43 10
2 3 0 44 11
2 3 1 45 11
2 3 2 46 11
2 3 3 47 11
3 0 0 48 12
3 0 1 49 12
3 0 2 50 12
3 0 3 51 12
3 1 0 52 13
3 1 1 53 13
3 1 2 54 13
3 1 3 55 13
3 2 0 56 14
3 2 1 57 14
3 2 2 58 14
3 2 3 59 14
3 3 0 60 15
3 3 1 61 15
3 3 2 62 15
3 3 3 63 15
